页码,评论者昵称,评论星级,评论时间,有用数,评论内容
5,ComicCelia,5星,2021-11-07 19:49:55,0,有时候觉得夏目的故事可能就只能这样了吧，但有新篇出来时还是想被这样的温暖包围呀。
5,豆瓣伊地知,4星,2021-08-08 02:29:08,0,3.5，正常发挥的两个短篇
5,关你什么西红柿,5星,2021-05-27 20:38:36,0,还是很温柔的。但是两集动画的量能不能快点出下一季啊。我更喜欢第一个故事，小小的妖怪想要努力完成想做的事情，真勇敢
5,乔阿,5星,2023-12-19 10:21:44,0,大三角哈哈哈哈
5,苏桅舞,5星,2021-11-09 14:58:49,0,三筿的人形真是帅呐hhh（虽然慢慢知道了剧情大概的模样，还是很喜欢呢～如沐春风的温柔百尝不腻不是吗？）
5,子哉,5星,2021-06-09 00:17:05,0,就是太短了
6,碧落旁宁,4星,2021-06-08 01:39:06,0,好浪漫哦
6,Diva Tequila,5星,2021-09-14 00:59:02,0,三美好可爱！
6,我不是momo,4星,2024-01-13 17:14:46,0,质量不错，期待第七季
6,冬天好冷,5星,2023-07-10 02:32:51,0,田沼夏目请结婚
6,沉水,4星,2021-06-13 18:27:56,0,本以为是电影，结果是两个小短篇，都还不错，温暖简单的两个小故事。
6,艾饼,5星,2021-12-04 13:23:48,0,夏目这个系列是日式温柔的极致了吧，永远能治愈我
6,黄昏使者,5星,2021-06-09 17:56:09,1,夏目和妖怪的故事希望永远不要结束❤️
6,thefinNga,5星,2023-01-14 21:35:52,1,田沼！（紧紧抱住没想到你个马脸竟然这么迷人
6,人间观光团,4星,2022-10-16 13:23:15,0,两则小故事
6,粽人府,3星,2023-06-11 08:32:32,0,温柔确实是这个世界最强大的力量，可一直温柔下去也会不够真实吧。
6,伊心,4星,2022-10-06 09:38:58,0,有时我也想保护你。
6,不知花开否☘️,2星,2021-06-26 15:04:36,1,这是剧场版?这时长是认真的?太敷衍了事了吧，充其量两个ova合集而已；而且剧情无聊不说，画面方面也极其简易，尤其最后三筱和友人打斗画面尬得我突然笑了。
6,不喝水的鲫鱼,3星,2021-09-30 00:50:02,0,@@@（2021-01-16）夏目友人帳石起こしと怪しき来訪者（夏目友人帐：石起和可疑来访者）（只是《石起こし》《怪しき来訪者》两集TV版而已，算不算在圈钱？没啥特别的，还是岁月静好。）
6,未知de永恒,5星,2023-07-16 22:00:50,0,CP磕错了也太草了堀江聚聚有模仿小鸟声线哎好评！！还是熟悉的温柔配方我先泪目了
6,与你同行,5星,2021-05-30 20:01:32,2,本来以为是剧场版，后来发现是两个单独的小故事。可是一如既往的好哭，两篇温暖治愈小故事夏目身边的朋友都好温柔啊。第一个唤石和岩铁大人是，我信任你将唤醒这份委托交予你即便我力量弱小但我也会竭尽所能回应你的这份期待，两个妖怪都很温暖。夏目好几天没看到猫咪老师因为担心才出来找它，看到洞里的美景想到的是和猫咪老师一起看，喜欢是记挂着你想和你分享我觉得美好的一切。猫咪老师看到有妖怪欺负夏目就把它吃了，事后还傲娇不承认。明明可以提前唤醒岩铁拿到自己喜欢的酒，但因为猜到了唤石的身份，知道夏目的意图，明明提前到了却装作睡觉错过了。三筱为了起昔日与另一池塘之主的约定惺惺相惜这份友情也很美好！人形好好看，好期待猫咪老师化形（以男性的状态）无论是三筱与笹目还是田沼与夏目都是很好的朋友，我太爱这系列了。
6,aryayaya,5星,2021-07-10 13:42:59,0,一如既往的温暖
6,但丁的方舟,3星,2022-05-04 17:14:23,0,名为剧场版其实是两个短篇。熟悉的味道……小妖的执念，追随的执念，附身的执念，胜负的执念……当然最后都会被平和地化解，本身也是相当平淡的冲突。
6,沙客,4星,2021-06-07 18:10:14,0,全员温柔！
6,山芋芒果味儿的,5星,2021-06-13 10:35:47,0,习惯性打call有夏目和三三在的地方总是令人安心
6,宫廷阉割师大人,3星,2021-10-14 00:13:35,0,开始觉得无聊了。是我老了吗
7,Sukipa,4星,2022-03-15 12:38:05,0,信义与温柔
7,Mo,5星,2021-05-29 21:15:52,0,三蓧帅起来也没🐱先些~什么事了😄
7,眯眯眼的敏敏,4星,2021-05-29 23:38:50,0,夏目终于从一直被欺负的那个人变成了可以帮助，保护他人的人了。所以，闲得娘口三三越来越胖了嘛~~
7,路人廿五,5星,2021-07-10 10:15:08,0,温暖而热闹，平静而细腻。夏目友人帐的可贵之处在于透过怪力乱神，看到的不是恃强凌弱，而是情感的力量被不断升华。以后可以定期出个ova打卡，老友重逢，岁月静好。
7,可露丽,5星,2021-07-21 14:18:07,0,惯性给的五星，这次其实没有之前那么深的感动。还是期待接下来的新篇。
7,六翼在天堂,4星,2024-06-10 23:52:54,0,热闹并不代表充实。好温柔啊。
7,暗闪光,3星,2022-06-25 21:12:58,0,水时长明显，评分严重虚高
7,科克托马斯,5星,2021-05-27 20:10:31,1,好励志，好治愈
7,猫的莫咪跪神棍,5星,2021-10-23 23:43:33,0,这些妖怪的人形也都太蛊了吧！！
7,天欲雪,3星,2023-01-16 23:31:24,0,B站的最后一集了，看了一天的夏目了猫咪老师真是善良又傲娇啊森林之子——田沼要被附身借力量这小事三筱人形真帅啊
7,珏玨,5星,2021-06-25 12:35:29,0,妖怪们能有什么坏心眼呢
7,DA_JR11,4星,2022-03-29 07:26:53,0,两集合成一集更喜欢第一个故事
7,Tokyo·Demort,3星,2021-09-19 21:13:00,0,哈哈哈……本身剧情简单，节奏舒缓，适合夏目迷看。路人看会怀疑“就这？”，替小🐑打个分数。
7,咸塘浜老黑鱼,4星,2023-05-16 22:51:53,1,第一次看《夏目友人帐》啊，虽然之前画过一回……很温柔的动画，但是作为剧场版感觉有点水！片尾曲真好听啊！
7,一拳超人傻白,4星,2022-08-21 21:07:54,0,娘口三三还是那么可可爱爱的酒鬼啊！！🥰🥰🥰
7,Kian在目黑散步,4星,2022-10-23 00:06:17,0,一到秋冬季节就想看夏目。
7,对方正在输入……,5星,2021-05-30 00:00:47,0,还是熟悉的味道，还是熟悉的妖怪们，怎么觉得三三又胖啦…哈哈哈哈！此生无悔入夏目，来世愿做帐中妖！
7,Summer,5星,2021-06-13 03:01:42,0,永远的神，夏目友人帐，温柔的力量
7,伊,4星,2021-06-12 03:19:45,0,是可以安心舒服地刷很多次的故事呀
7,就有够可爱,3星,2021-07-20 00:09:42,0,嗨，夏目是看了个情怀叭，挖的坑终将是填不上了嘚
8,Diamonds,4星,2021-09-24 12:30:23,0,一如既往的温柔
8,唐揽月,4星,2021-05-30 19:04:21,1,又丧又治愈。他说不可结缘，徒增寂寞，他说身边热闹不代表就是充实，他说人类的数十年对妖怪而言转瞬即逝……可共赏的月色如此美丽，总是让人怀念。
8,梧桐,5星,2021-07-03 16:20:00,0,连三筱也是有cp的妖了，哭泣……
8,缺妞,5星,2021-08-31 13:23:36,0,每次看夏目友人帐都会被温暖到，都在以自己的方式去守护着对方，温柔但有力。
8,骄子,4星,2021-11-06 19:02:24,0,后会有七
8,彻夜疯歌,5星,2021-05-28 01:29:05,0,简简单单的治愈小故事，夏目友人帐总能让人心情愉悦。有生之年，期待第七季。Y
8,陶可宸,4星,2021-05-27 18:13:51,0,两个短小的故事一起播出而已，同样都是温暖的感觉。ps：有点儿想念名取呢
8,新世纪腐银战士,4星,2022-09-10 09:18:17,0,很舒服的两则小故事，一则是让弱小的妖怪也能完成了不起的成就，夏目真是太温柔了，夏目组也真的很暖；第二则更加复杂一些，用妖怪之间的斗争与共存，映射了人和人、朋友和朋友之间微妙的情感，想要成为更久远的朋友，就要两个人一起向前进，这其中有人会自卑、有人会顾忌，但如果能克服这种种情绪、共同前进的话，就会是经受得起任何考验的情谊吧。
8,赤膊姑娘,5星,2021-06-27 12:43:58,0,哇啊啊啊，红蓝cp在妖怪界也是通行的
8,Z.A.Jevin,5星,2021-05-26 19:23:36,3,要来了要来了，夏目啊我好想你为了夏目友人帐开了哔哩哔哩大会员，真香！虽然长度不及电影版，剧情还是不减当年，温柔依旧！此生无悔入夏目！！！
8,洛七,5星,2023-10-25 22:47:46,2,正常水准，非常喜欢！唤石者密实想要不负岩铁大人的期待使人触动，被期待似乎还不错嘛，不过更喜欢第二个故事，老熟人嘛，三筱和葉目，夏目和田沼，关于友谊的双线叙事，寂寞又温柔，像是池塘睡莲一样呢
8,向刃于Box,5星,2021-05-31 23:24:12,0,夏目，必须是永远的神
8,荡麦,5星,2021-05-30 19:55:08,1,唤石者，根子里的执着远比追逐奖励更能实现不辜负，且能看见实现理想路上大树隧道的奇妙风景，将奖励的美酒，胜利的果实分享给一路伙伴，喜悦！愿我可以没有成长……
8,哼一首歌给哈尼,3星,2021-05-27 03:15:17,3,幸好没做成剧场版
8,无为而治,4星,2021-05-28 19:55:13,0,猫咪老师说热闹≠充实；夏目说我们悄悄从那条地道回去吧，那里很漂亮，老师你也一定会喜欢的。三篠人形和妖形也差太多了吧。挺高大好看的。😘😘
8,林小鹿,3星,2021-06-14 22:37:02,0,还在等七
8,壹时一,未知,2021-05-26 21:32:29,1,三筱！帅哥！
8,奇,3星,2021-11-29 08:50:33,0,系列调性不变。
8,免色,5星,2021-10-31 21:07:20,0,愿你被温柔以待
8,～,5星,2021-06-15 09:45:44,0,210606-永远爱夏目和老师，我们不要走散。
9,白姬绾,5星,2023-07-07 00:01:19,1,《唤石者》仆从小妖怪好可爱。《怪异的访客》一直都觉得，田沼家看不见的池塘非常有趣。万万没想到，三筱的人形还挺帅的哈哈哈哈。
9,已注销,4星,2021-10-14 03:37:16,0,やはりこういう淡い悲しみに包まれた夏目が一番いい。
9,甜甜圈,5星,2023-08-03 21:47:18,0,又是两个暖暖的小故事。新一季赶紧安排啊！
9,夏生与酒,5星,2022-06-04 14:19:25,0,久违了的纳兹咩！
9,苍穹的幻想,4星,2022-04-26 21:25:47,0,《夏目友人帐》多年来无论是TV版还是剧场版，整体风格和中心思想均是如同第一季时的清新治愈、温馨暖心；夏目和他的喵咕森塞、一众人类和怪物朋友、以及养父母滋叔叔塔子阿姨，在电视剧里那个似乎永远存在的夏天里，无忧无虑的生活在这个充盈着暖色调的小镇上。
9,茉莉的茉。,3星,2021-08-07 17:33:16,0,2021.05.27//2021.08.07
9,♡,4星,2023-07-19 21:37:29,0,看不够
9,evening77,3星,2021-06-06 01:33:43,0,其实就是两话TV的内容放到一起做了个OVA或者是SP性质，还以为真的是剧场版呢，然鹅并不是~三筿也算大妖怪了，两个沼泽妖怪打架（联络感情）没事要找夏目的基友附身，我看你们纯粹是为了刷存在感吧~
9,花吃了卡百利,3星,2021-05-31 08:16:38,0,2.5元，还行吧。。。
9,Llllllllllllll,5星,2021-11-22 16:22:22,0,夏目
9,猴头虫,3星,2022-07-21 17:38:14,0,故事本身就是夏目一贯风格，不过原本我期盼着来点互相有关联的大故事的，结果没想到更像一口气看了3集动画片。
9,观荔手记,5星,2021-07-28 02:12:24,0,🥰
9,浮游海月,4星,2022-01-05 14:24:26,0,还是那个清清淡淡温暖治愈的味儿。三筱的人类形态竟然是个灰毛卷发西装帅哥，还有不对称的斜刘海和鬓发，而且一言不合就拉住基友的手到处约会，hso。他基友还是小鸟配音，更涩了！！！！！田沼的声优虽然很努力的去模仿小鸟那种充满非人感的高贵又蛊惑人心的腔调，可惜还是差得很远。不知是受困于声线配不出那种骚气感还是演技不到位放不开啊。还有，大概没可能看到基友的人类形态了真是太遗憾了。
9,英雌,4星,2021-09-12 15:43:36,0,这种情怀类的动漫确实评分虚高严重
9,Neutralization,4星,2023-06-26 11:14:00,0,献给时间和爱情的礼赞。虽然短小，但有如夏日午间的彩虹，斑斓明媚。
9,Ki.v,4星,2023-02-04 12:41:01,0,優しいな
9,萧季轩,4星,2023-10-02 06:42:26,0,嗷呜
9,刘小婷,4星,2021-05-27 00:42:39,0,热闹不代表充实一如既往的温暖
9,木卫三爱吃饺子,5星,2021-06-07 20:11:59,0,纳兹咩～
9,白翅膀黑羽毛,4星,2021-05-28 16:35:57,0,懐かしい
10,shun,4星,2022-02-24 22:23:52,0,还是一如既往地治愈，适合睡前看
10,Zoe,5星,2021-08-09 23:08:33,0,攒了一个夏日的夏目没舍得看，在春日的时候想着我一定会在某个蝉鸣的夏日午后，在空调房里捧着半个西瓜慢慢品味，结果最后的最后正好在立秋这日看完，夏目还是那个温柔善良的夏目，娘口三三还是那只嗜酒好吃的肥喵，一切都还是那么美好。
10,张吞吞,5星,2021-12-31 22:11:39,0,“今晚的月色很美。”喂喂，三筱，你是错拿了娘阔三三的什么了不得的台词么？我也想和夏目看同样的风景啊，下着雪的冬天就应该有夏目陪着呀。（好像说晚了一周，长沙的雪已经下完了嘤。）
10,飞跃疯人球,3星,2021-06-12 15:24:09,0,无聊
10,徐eating,5星,2022-09-29 00:19:09,0,深夜看完，好治愈
10,胖三三三,3星,2023-03-08 21:11:04,0,平淡温柔又给里给气，只是这种没什么特别的小短篇放进TV版不就好了，至于单独拎出来么…
10,archimboldi,5星,2021-06-24 22:35:58,0,让人想起关于池沼的故事
10,果汁○,3星,2021-12-15 23:36:57,0,温柔的人总是孤独的吧。
10,Lydia Z.,5星,2021-05-31 16:19:49,0,猫咪老师胖得不像话，获得新称号“猫咪不倒翁”。夏目的友情破颜拳越发熟练。故事都好温暖哪~
10,Rabbitの胡萝卜,未知,2021-05-29 19:41:49,0,光是温柔就足够满分了
10,BoundFlow,4星,2021-06-05 20:11:00,0,一个东西能不忘初心的穿过漫长时间保留下来便更显的珍贵。
10,啊呜,4星,2021-05-26 23:34:59,1,安宁、温和，看夏目和猫团子的意义就是这些了吧
10,悟饭婆婆,3星,2021-06-01 21:33:34,0,人生简单又不简单。每次看夏目友人帐，总感觉是发生在夏日傍晚的故事，一切都很安静，如果可以一直平凡又简单快乐的活着，或许也是一件很好的事。
10,绿色毛毛虫,3星,2024-01-20 00:44:52,0,剧情平淡了一些，老套了一些…评分也太高了
10,然潘,4星,2021-07-22 08:51:20,0,渐行渐远的友谊，第二个故事好伤感。第一个故事有点太刻意去卖日系温暖了，我这个年龄已经看不太进去了。
10,Sunrise ℃,4星,2022-04-18 01:16:35,0,可能我老了
10,桃花坞主,5星,2022-12-11 21:38:09,0,夏目发现了刻在石壁上的星星点点，想到如果是和娘扣三三一起看该多好~妖怪的生命线那么长，但能陪伴一段短暂的时间，也是好的。
10,徐乐乐爱旅行,4星,2021-07-11 17:40:35,0,其实我并不爱看日本鬼神动漫，有点害怕。只是日本动漫版拍得不是很恐怖，反而很温馨立志。但本质还是鬼片。
10,圆山中庸,5星,2021-06-05 10:32:18,0,怎么会有动画能十三年来始终如一的这么好看呢？平淡里的环环相扣，从来没有因为时间的流逝而有任何一个角色掉队。看到田沼的故事又想起了每次进入缓慢流动的乡间生活之中，幸福平和的心情。夏目，一生的心灵归宿！
10,laka,4星,2021-05-28 09:49:55,0,一如既往的日常比较平淡一点的故事
